tid,tweet,keyword,polarity,subjectivity,sentiment,neg,neu,pos,compound
T133,Don hear much Russian disregard countries sovereignty talking Ukraine Indiscriminate killing torturing civilians war crimes etc critical Russia I wonder,ukraine war,0,0.4,negative,0.544,0.456,0,-0.9493
T134,RT KatyaYushchenko,ukraine war,0,0,neutral,0,1,0,0
T135,RT GlasnostGone There mounting evidence systemic war crimes committed every region Russia forces,ukraine war,0,0,negative,0.229,0.647,0.124,-0.4215
T136,RT World deadly war last year Ukraine Tigray thousands dead,ukraine war,-0.133333333,0.288888889,negative,0.506,0.494,0,-0.8481
T137,RT FinlandinUSA Finland delivers million worth defense materiel Ukraine largest shipment since Russia,ukraine war,0.3,0.1,positive,0,0.764,0.236,0.34
T138,RT UkraineNowMedia Spanish police come Ukraine help investigate war crimes Russia Prime Minister Spain NATO,ukraine war,0,0,negative,0.199,0.663,0.138,-0.296
T139,RT igorsushko President Ukraine Zelenskyy implores NATO Parliamentary Assembly designate Russia,ukraine war,0,0,neutral,0,1,0,0
T140,aaronjmate Why anyone take seriously moral authority war crimes lies leaders state consistently silent ones fit narrative Go Ukraine real reporting,ukraine war,0.15,0.2625,negative,0.298,0.567,0.135,-0.6808
T141,funded US CIA dollars used fight Ukraine war Musk another billionaire war pig profiting deaths young men deserve die Despicable human really He moral authority judge Alex Jones,ukraine war,0.033333333,0.25,negative,0.353,0.544,0.103,-0.9029
T142,KimDotcom Everybody opposed war Ukraine Russian spy view Let see geniuses behave escalation war spreading,ukraine war,0,0,negative,0.375,0.625,0,-0.8316
T143,verified attacks Ukraine health infrastructure including hospitals since war began said clear breach international law He called sides allow humanitarian access meet people health needs,ukraine war,0.05,0.191666667,negative,0.211,0.65,0.139,-0.5106
T144,On air Spotlight Ukraine talked extent winter slow counteroffensive amp whether join war cut routes Western aid Look details YouTube channel,ukraine war,-0.15,0.2,negative,0.229,0.687,0.084,-0.5859
T145,RT khjelmgaard World deadly war last year Ukraine Tigray region Ethiopia,ukraine war,-0.1,0.233333333,negative,0.281,0.719,0,-0.5994
T146,RT CityLab As invasion still ongoing major cities Ukraine get shelled bombed regularly architects thinking,ukraine war,0.03125,0.288461538,neutral,0,1,0,0
T147,RT Former US Marine Corps intelligence officer Scott Ritter says Ukraine war started,ukraine war,0,0,negative,0.217,0.611,0.172,-0.2023
T148,RT KimDotcom No one support Ukraine Jens Stoltenberg Secretary General NATO He meant say Russia Freudian slip,ukraine war,0.05,0.5,positive,0.111,0.754,0.136,0.128
T149,RT Spain deploy police Ukraine assist war crime investigations Source Pedro Sanchez Spanish Prime Minister,ukraine war,0,0,negative,0.363,0.637,0,-0.8126
T150,RT travisakers How Ukraine win war attrition Russia Ukraine proven better mobilizing population,ukraine war,0.65,0.45,positive,0.189,0.485,0.325,0.4215
T151,JuliaDavisNews TuckerCarlson You lied misinformed war Ukraine beginning Sec c Suppl Appropriation bill requires audits controls No money released without place Audits already done,ukraine war,-0.1,0.6,negative,0.373,0.627,0,-0.8834
T152,RT khjelmgaard World deadly war last year Ukraine Tigray region Ethiopia,ukraine war,-0.1,0.233333333,negative,0.281,0.719,0,-0.5994
T153,Ukraine Soldiers Say Elon Musk Starlink Main Difference In Drone War via YouTube,ukraine war,0.166666667,0.333333333,negative,0.245,0.755,0,-0.5994
T154,RT UnionSqandCo YOU DON T KNOW WHAT WAR IS inspiring memoir resilience young survivor war Ukraine told,ukraine war,0.3,0.7,negative,0.33,0.465,0.205,-0.6408
T155,RT KimDotcom No one support Ukraine Jens Stoltenberg Secretary General NATO He meant say Russia Freudian slip,ukraine war,0.05,0.5,positive,0.111,0.754,0.136,0.128
T156,Wenigstens der Krieg der Ukraine muss schnell wie möglich siegreich beendet werden Das noch von Russland zu erwarten ist ist jedenfalls auf unabsehbare Zeit nichts Gutes SlavaUkrainii,ukraine war,0,0,neutral,0,1,0,0
T157,YPYurchenko Yuliya Yurchenko give socialist perspective Ukraine After war Ukraine needs better country social housing workers rights neo liberalism Russian imperialism Many international left failed Ukraine IrishLeftWithUkraine,ukraine war,0.076190476,0.195238095,negative,0.211,0.704,0.085,-0.6486
T158,US sees war crimes Russia Ukraine,ukraine war,0,0,negative,0.438,0.562,0,-0.5994
T159,RT chenweihua NATO members like say Russia unprovoked war Ukraine NATO totally innocent But would use,ukraine war,0.5,0.7,positive,0.129,0.683,0.189,0.0378
T160,RT chenweihua NATO members like say Russia unprovoked war Ukraine NATO totally innocent But would use,ukraine war,0.5,0.7,positive,0.129,0.683,0.189,0.0378
T161,RT Tendar The whole war Ukraine proved bad Russian weapons tactics also much superior Western tech,ukraine war,0.04,0.393333333,negative,0.399,0.465,0.136,-0.7783
T162,RT GlasnostGone Thanks Russia genocidal invasion Ukraine facing largest attack healthcare European soil since,ukraine war,0.1,0.1,negative,0.172,0.667,0.161,-0.0516
T163,RT chenweihua NATO members like say Russia unprovoked war Ukraine NATO totally innocent But would use,ukraine war,0.5,0.7,positive,0.129,0.683,0.189,0.0378
T164,Excellent article changes Russian parties impetus negotiations fizzling,ukraine war,0.5,0.5,positive,0,0.484,0.516,0.7506
T165,RT KimDotcom No one support Ukraine Jens Stoltenberg Secretary General NATO He meant say Russia Freudian slip,ukraine war,0.05,0.5,positive,0.111,0.754,0.136,0.128
T166,RT War media fears Twitter may affect propaganda side Washington proxy war Russia,ukraine war,-0.1,0.1,negative,0.583,0.417,0,-0.9118
T167,RT JuliaDavisNews Meanwhile Russia accused war criminal Zakhar spends lot time frontlines previously,ukraine war,-0.283333333,0.358333333,negative,0.487,0.513,0,-0.8591
T168,RT MoonofA New MoA Ukraine No Way To Peace Without Further War,ukraine war,0.068181818,0.477272727,positive,0.123,0.504,0.372,0.6647
T169,RT Noch einmal zum mitschreiben Russland ist der Ukraine verteidigt ihr,ukraine war,0,0,neutral,0,1,0,0
T170,RT If people keep ignoring Facts perhaps Truth looking BlackLivesMatter,ukraine war,0,0,negative,0.208,0.615,0.177,-0.1027
T171,Ukraine Russia War Putin Black Sea Fleet Fires Kalibr Missiles Strikes Ukraine Weapons Depot UkraineWar UkrainianArm Germany Canada Donbass,ukraine war,-0.166666667,0.433333333,negative,0.368,0.632,0,-0.8519
T172,What Russia gained lost far Ukraine visualized,ukraine war,0.1,1,positive,0.232,0.505,0.263,0.0772
T173,What Russia gained lost far Ukraine visualized,ukraine war,0.1,1,positive,0.232,0.505,0.263,0.0772
T174,UkraineInvasion UkraineWillWin Ukrainians UkraineWar droneattack drones Kyiv Lviv Kherson NAFOfellas NAFO Beryslav NAFOdrone,ukraine war,0,0,neutral,0,1,0,0
T175,What Russia gained lost far Ukraine visualized,ukraine war,0.1,1,positive,0.232,0.505,0.263,0.0772
T176,Forget politics That business I business Real Estate Business You ca invest country war No matter country time Especially Canadian inflation My Ukraine Grand Grand Mother obviously understands No hard feelings,ukraine war,0.224305556,0.723611111,negative,0.285,0.541,0.174,-0.5423
T177,Brexit trade war Russia invasion geopolitical surprises continue economic upheaval,ukraine war,0.2,0.2,negative,0.283,0.58,0.138,-0.4588
T178,RT sifzahidi The Russians also started arresting soldiers army want participate war aggression,ukraine war,0,0,negative,0.351,0.575,0.075,-0.7003
T179,RT archinect Ukraine architects look ahead challenge rebuilding cities UkraineWar,ukraine war,0,0,positive,0,0.874,0.126,0.0772
